"state1","statename1","mi_to_state","state2","statename2"
"01","Alabama",163.55014342094,"28","Mississippi"
"01","Alabama",199.034297271136,"13","Georgia"
"01","Alabama",217.333897328845,"47","Tennessee"
"01","Alabama",318.910521208771,"22","Louisiana"
"01","Alabama",342.609771216937,"21","Kentucky"
"01","Alabama",354.279978858732,"05","Arkansas"
"01","Alabama",354.554336422848,"45","South Carolina"
"01","Alabama",396.248011807993,"12","Florida"
"01","Alabama",481.4312229732,"37","North Carolina"
"01","Alabama",495.918410100512,"18","Indiana"
"01","Alabama",499.660784897136,"29","Missouri"
"01","Alabama",524.641969124623,"17","Illinois"
"01","Alabama",536.951500090209,"54","West Virginia"
"01","Alabama",567.605082459973,"51","Virginia"
"01","Alabama",577.549523041538,"39","Ohio"
"01","Alabama",639.141064596883,"40","Oklahoma"
"01","Alabama",695.319262729725,"11","District of Columbia"
"01","Alabama",712.182846454938,"24","Maryland"
"01","Alabama",733.250820183285,"48","Texas"
"01","Alabama",740.229675169296,"19","Iowa"
"01","Alabama",752.033981806259,"42","Pennsylvania"
"01","Alabama",759.641039192662,"20","Kansas"
"01","Alabama",769.657331185847,"10","Delaware"
"01","Alabama",835.730551867334,"55","Wisconsin"
"01","Alabama",838.531261836641,"26","Michigan"
"01","Alabama",845.73923789815,"34","New Jersey"
"01","Alabama",931.476482625117,"36","New York"
"01","Alabama",936.3331078328,"31","Nebraska"
"01","Alabama",985.509903481923,"09","Connecticut"
"01","Alabama",1015.54420061027,"27","Minnesota"
"01","Alabama",1039.45734101006,"44","Rhode Island"
"01","Alabama",1061.44747554115,"25","Massachusetts"
"01","Alabama",1082.26422232376,"46","South Dakota"
"01","Alabama",1092.63752233189,"50","Vermont"
"01","Alabama",1114.33618517522,"35","New Mexico"
"01","Alabama",1117.84049390711,"33","New Hampshire"
"01","Alabama",1128.15286295357,"08","Colorado"
"01","Alabama",1241.8244357352,"38","North Dakota"
"01","Alabama",1304.26982442544,"23","Maine"
"01","Alabama",1327.25003918899,"56","Wyoming"
"01","Alabama",1427.03515870234,"04","Arizona"
"01","Alabama",1453.80652162765,"49","Utah"
"01","Alabama",1551.08565201787,"30","Montana"
"01","Alabama",1616.5062534501,"72","Puerto Rico"
"01","Alabama",1688.00271491905,"16","Idaho"
"01","Alabama",1715.98401899188,"32","Nevada"
"01","Alabama",1867.320563199,"06","California"
"01","Alabama",1970.50306890289,"41","Oregon"
"01","Alabama",2029.72176448682,"53","Washington"
"01","Alabama",3485.17750728243,"02","Alaska"
"01","Alabama",4275.91020221184,"15","Hawaii"
"02","Alaska",1645.94984328822,"53","Washington"
"02","Alaska",1842.16294728249,"41","Oregon"
"02","Alaska",1984.34233264245,"30","Montana"
"02","Alaska",1989.33456429553,"16","Idaho"
"02","Alaska",2223.43828552029,"32","Nevada"
"02","Alaska",2243.64704785407,"38","North Dakota"
"02","Alaska",2268.54128659307,"56","Wyoming"
"02","Alaska",2280.7424593282,"06","California"
"02","Alaska",2359.06200095528,"49","Utah"
"02","Alaska",2409.95921206269,"46","South Dakota"
